id,word,meaning,category,language
1,all,tất cả,adjective,adjective
2,and,và,conjunction,conjunction
3,boy,con trai,noun,noun
4,car,xe hơi,noun,noun
5,cat,con mèo,noun,noun
6,day,ngày,noun,noun
7,end,kết thúc,noun,noun
8,family,gia đình,noun,noun
9,home,Trang Chủ,noun,noun
10,it,nó,pronoun,pronoun
11,man,Đàn ông,noun,noun
12,name,Tên,noun,noun
13,one,một,adjective,adjective
14,people,Mọi người,noun,noun
15,read,đọc,verb,verb
16,school,trường học,noun,noun
17,speak,nói,verb,verb
18,the,the,article,article
19,this,điều này,pronoun,pronoun
20,you,bạn,pronoun,pronoun
21,ask,hỏi,verb,verb
22,book,sách,noun,noun
23,can,có thể,verb,verb
24,dog,chó,noun,noun
25,eye,con mắt,noun,noun
26,first,Đầu tiên,adjective,adjective
27,go,đi,verb,verb
28,he,anh ta,pronoun,pronoun
29,child,đứa trẻ,noun,noun
30,in,trong,preposition,preposition
31,learn,học hỏi,verb,verb
32,morning,buổi sáng,noun,noun
33,open,mở,verb,verb
34,play,chơi,verb,verb
35,question,câu hỏi,noun,noun
36,room,phòng,noun,noun
37,say,Nói,verb,verb
38,start,khởi đầu,verb,verb
39,today,hôm nay,adverb,adverb
40,word,từ ngữ,noun,noun
41,about,trong khoảng,preposition,preposition
42,at,tại,preposition,preposition
43,brother,Anh trai,noun,noun
44,drink,uống,verb,verb
45,easy,dễ dàng,adjective,adjective
46,father,bố,noun,noun
47,girl,con gái,noun,noun
48,help,Cứu giúp,verb,verb
49,chair,cái ghế,noun,noun
50,know,biết rôi,verb,verb
51,my,của tôi,pronoun,pronoun
52,new,Mới,adjective,adjective
53,paper,giấy,noun,noun
54,please,xin vui lòng,interjection,interjection
55,rich,giàu có,adjective,adjective
56,she,bà ấy,pronoun,pronoun
57,show,chỉ,verb,verb
58,son,Con trai,noun,noun
59,they,họ,pronoun,pronoun
60,what,gì,pronoun,pronoun
61,always,luôn luôn,adverb,adverb
62,be,là,verb,verb
63,body,thân hình,noun,noun
64,careful,cẩn thận,adjective,adjective
65,cry,khóc,verb,verb
66,door,cửa,noun,noun
67,everything,mọi điều,pronoun,pronoun
68,face,khuôn mặt,noun,noun
69,her,cô ấy,pronoun,pronoun
70,if,nếu,conjunction,conjunction
71,many,nhiều,adjective,adjective
72,no,Không,adverb,adverb
73,pen,cây bút,noun,noun
74,place,địa điểm,noun,noun
75,road,đường,noun,noun
76,stop,dừng lại,verb,verb
77,student,sinh viên,noun,noun
78,two,hai,adjective,adjective
79,want,muốn,verb,verb
80,where,Ở đâu,adverb,adverb
81,answer,câu trả lời,noun,noun
82,between,giữa,preposition,preposition
83,clear,thông thoáng,adjective,adjective
84,country,Quốc gia,noun,noun
85,dance,nhảy,verb,verb
86,do,làm,verb,verb
87,each,mỗi,adjective,adjective
88,friend,bạn bè,noun,noun
89,his,của anh ấy,pronoun,pronoun
90,job,việc làm,noun,noun
91,life,đời sống,noun,noun
92,more,hơn,adverb,adverb
93,park,công viên,noun,noun
94,person,người,noun,noun
95,ready,Sẵn sàng,adjective,adjective
96,second,thứ hai,adjective,adjective
97,soon,Sớm,adverb,adverb
98,that,cái đó,pronoun,pronoun
99,we,chúng tôi,pronoun,pronoun
100,why,tại sao,adverb,adverb
101,able,có thể,adjective,adjective
102,before,trước,preposition,preposition
103,but,nhưng,conjunction,conjunction
104,clean,dọn dẹp,verb,verb
105,close,đóng,verb,verb
106,dream,mơ,verb,verb
107,eight,tám,adjective,adjective
108,for,cho,preposition,preposition
109,hand,tay,noun,noun
110,inside,phía trong,preposition,preposition
111,now,hiện nay,adverb,adverb
112,or,hoặc là,conjunction,conjunction
113,picture,hình ảnh,noun,noun
114,river,con sông,noun,noun
115,ship,tàu,noun,noun
116,shop,cửa tiệm,noun,noun
117,sit,ngồi,verb,verb
118,table,bàn,noun,noun
119,very,rất,adverb,adverb
120,write,viết,verb,verb
121,air,không khí,noun,noun
122,black,đen,adjective,adjective
123,cinema,Rạp chiếu phim,noun,noun
124,daughter,Con gái,noun,noun
125,eat,ăn,verb,verb
126,from,từ,preposition,preposition
127,good,tốt,adjective,adjective
128,head,cái đầu,noun,noun
129,cheese,phô mai,noun,noun
130,important,quan trọng,adjective,adjective
131,land,đất đai,noun,noun
132,money,tiền bạc,noun,noun
133,pay,trả,verb,verb
134,problem,vấn đề,noun,noun
135,run,chạy,verb,verb
136,same,tương tự,adjective,adjective
137,see,xem,verb,verb
138,send,gửi,verb,verb
139,thing,Điều,noun,noun
140,work,công việc,noun,noun
141,any,bất kì,adjective,adjective
142,as,như,preposition,preposition
143,better,tốt hơn,adjective,adjective
144,cold,lạnh,adjective,adjective
145,come,đến,verb,verb
146,doctor,Bác sĩ,noun,noun
147,find,tìm thấy,verb,verb
148,game,trò chơi,noun,noun
149,idea,ý tưởng,noun,noun
150,kind,Tốt bụng,adjective,adjective
151,live (v),trực tiếp,verb,verb
152,make,làm,verb,verb
153,peace,Sự thanh bình,noun,noun
154,popular,phổ biến,adjective,adjective
155,right,đúng,adjective,adjective
156,small,nhỏ,adjective,adjective
157,so,vì thế,adverb,adverb
158,some,một số,adjective,adjective
159,there,ở đó,adverb,adverb
160,wait,chờ đợi,verb,verb
161,again,lần nữa,adverb,adverb
162,back,trở lại,adverb,adverb
163,could,có thể,verb,verb
164,document,tài liệu,noun,noun
165,egg,trứng,noun,noun
166,fire,ngọn lửa,noun,noun
167,give,đưa cho,verb,verb
168,chance,cơ hội,noun,noun
169,information,thông tin,noun,noun
170,light,ánh sáng,noun,noun
171,may,có thể,verb,verb
172,often,thường xuyên,adverb,adverb
173,prefer,thích hơn,verb,verb
174,put,đặt,verb,verb
175,red,đỏ,adjective,adjective
176,stone,sỏi,noun,noun
177,such,như là,adjective,adjective
178,think,suy nghĩ,verb,verb
179,understand,hiểu biết,verb,verb
180,visit,chuyến thăm,verb,verb
181,around,xung quanh,preposition,preposition
182,best,tốt,adjective,adjective
183,call,gọi,verb,verb
184,cut,cắt,verb,verb
185,dinner,bữa tối,noun,noun
186,down,xuống,preposition,preposition
187,explain,giải thích,verb,verb
188,get,được,verb,verb
189,interesting,hấp dẫn,adjective,adjective
190,long,Dài,adjective,adjective
191,move,di chuyển,verb,verb
192,out,ngoài,preposition,preposition
193,page,trang,noun,noun
