id,word,meaning,category,language
1,all,tất cả,1000,vi
2,and,và,1000,vi
3,boy,con trai,1000,vi
4,car,xe hơi,1000,vi
5,cat,con mèo,1000,vi
6,day,ngày,1000,vi
7,end,kết thúc,1000,vi
8,family,gia đình,1000,vi
9,home,Trang Chủ,1000,vi
10,it,nó,1000,vi
11,man,Đàn ông,1000,vi
12,name,Tên,1000,vi
13,one,một,1000,vi
14,people,Mọi người,1000,vi
15,read,đọc,1000,vi
16,school,trường học,1000,vi
17,speak,nói,1000,vi
18,the,the,1000,vi
19,this,điều này,1000,vi
20,you,bạn,1000,vi
21,ask,hỏi,1000,vi
22,book,sách,1000,vi
23,can,có thể,1000,vi
24,dog,chó,1000,vi
25,eye,con mắt,1000,vi
26,first,Đầu tiên,1000,vi
27,go,đi,1000,vi
28,he,anh ta,1000,vi
29,child,đứa trẻ,1000,vi
30,in,trong,1000,vi
31,learn,học hỏi,1000,vi
32,morning,buổi sáng,1000,vi
33,open,mở,1000,vi
34,play,chơi,1000,vi
35,question,câu hỏi,1000,vi
36,room,phòng,1000,vi
37,say,Nói,1000,vi
38,start,khởi đầu,1000,vi
39,today,hôm nay,1000,vi
40,word,từ ngữ,1000,vi
41,about,trong khoảng,1000,vi
42,at,tại,1000,vi
43,brother,Anh trai,1000,vi
44,drink,uống,1000,vi
45,easy,dễ dàng,1000,vi
46,father,bố,1000,vi
47,girl,con gái,1000,vi
48,help,Cứu giúp,1000,vi
49,chair,cái ghế,1000,vi
50,know,biết rôi,1000,vi
51,my,của tôi,1000,vi
52,new,Mới,1000,vi
53,paper,giấy,1000,vi
54,please,xin vui lòng,1000,vi
55,rich,giàu có,1000,vi
56,she,bà ấy,1000,vi
57,show,chỉ,1000,vi
58,son,Con trai,1000,vi
59,they,họ,1000,vi
60,what,gì,1000,vi
61,always,luôn luôn,1000,vi
62,be,là,1000,vi
63,body,thân hình,1000,vi
64,careful,cẩn thận,1000,vi
65,cry,khóc,1000,vi
66,door,cửa,1000,vi
67,everything,mọi điều,1000,vi
68,face,khuôn mặt,1000,vi
69,her,cô ấy,1000,vi
70,if,nếu,1000,vi
71,many,nhiều,1000,vi
72,no,Không,1000,vi
73,pen,cây bút,1000,vi
74,place,địa điểm,1000,vi
75,road,đường,1000,vi
76,stop,dừng lại,1000,vi
77,student,sinh viên,1000,vi
78,two,hai,1000,vi
79,want,muốn,1000,vi
80,where,Ở đâu,1000,vi
81,answer,câu trả lời,1000,vi
82,between,giữa,1000,vi
83,clear,thông thoáng,1000,vi
84,country,Quốc gia,1000,vi
85,dance,nhảy,1000,vi
86,do,làm,1000,vi
87,each,mỗi,1000,vi
88,friend,bạn bè,1000,vi
89,his,của anh ấy,1000,vi
90,job,việc làm,1000,vi
91,life,đời sống,1000,vi
92,more,hơn,1000,vi
93,park,công viên,1000,vi
94,person,người,1000,vi
95,ready,Sẵn sàng,1000,vi
96,second,thứ hai,1000,vi
